COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Red-tailed Leafhopper,Prairie population,Special Concern,2018-04-27,Aflexia rubranura,Red-tailed Leafhopper,Prairie population,Special Concern,2021-04-23,Schedule 1,2021-04-23,Manitoba,Arthropods,NA,Added to list,2028-04-27,Terrestrial,Aflexia rubranura - Red-tailed Leafhopper (Prairie population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rough Agalinis,NA,Endangered,2006-04-29,Agalinis aspera,Rough Agalinis,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,Manitoba,Vascular Plants,NA,Added to list,2016-04-29,Terrestrial,Agalinis aspera - Rough Agalinis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gattinger's Agalinis,NA,Endangered,2001-05-01,Agalinis gattingeri,Gattinger's Agalinis,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Agalinis gattingeri - Gattinger's Agalinis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Skinner's Agalinis,NA,Endangered,2010-11-26,Agalinis skinneriana,Skinner's Agalinis,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2020-11-26,Terrestrial,Agalinis skinneriana - Skinner's Agalinis,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sable Island Cutworm Moth,NA,Not applicable,9999-01-01,Agrotis arenarius,NA,NA,NA,9999-01-01,NA,9999-01-01,"CWS, NS, Parks",Arthropods,NA,NA,9999-01-01,Terrestrial,Agrotis arenarius - Sable Island Cutworm Moth,Terrestrial,Arthropods,Agrotis arenarius,Sable Island Cutworm Moth,NA,Not applicable,2025-November-01,"CWS, NS, Parks"
Dwarf Wedgemussel,NA,Extirpated,2021-12-01,Alasmidonta heterodon,Dwarf Wedgemussel,NA,Extirpated,2003-06-05,Schedule 1,2003-06-05,New Brunswick,Molluscs,NA,Added to list,2031-12-01,Aquatic,Alasmidonta heterodon - Dwarf Wedgemussel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Brook Floater,NA,Special Concern,2022-12-03,Alasmidonta varicosa,Brook Floater,NA,Special Concern,2013-03-08,Schedule 1,2013-03-08,"New Brunswick, Nova Scotia",Molluscs,NA,Added to list,2032-12-03,Terrestrial,Alasmidonta varicosa - Brook Floater,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Colicroot,NA,Endangered,2015-11-26,Aletris farinosa,Colicroot,NA,Endangered,2019-02-25,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Uplisted: Threatened to endangered,2025-11-26,Terrestrial,Aletris farinosa - Colicroot,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Broad-banded Forestsnail,NA,Endangered,2014-11-28,Allogona profunda,Broad-banded Forestsnail,NA,Endangered,2019-02-25,Schedule 1,2019-02-25,Ontario,Molluscs,NA,Added to list,2024-11-28,Terrestrial,Allogona profunda - Broad-banded Forestsnail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Oregon Forestsnail,NA,Endangered,2013-05-03,Allogona townsendiana,Oregon Forestsnail,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,NA,Added to list,2023-05-03,Terrestrial,Allogona townsendiana - Oregon Forestsnail,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Y-Prickleback,NA,Not at Risk,1991-04-01,Allolumpenus hypochromus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Fishes (marine),NA,NA,2001-04-01,Aquatic,Allolumpenus hypochromus - Y-Prickleback,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blueback Herring,NA,Not at Risk,1980-04-01,Alosa aestivalis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),NA,NA,1990-04-01,Aquatic,Alosa aestivalis - Blueback Herring,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Thorny Skate,NA,Special Concern,2012-05-04,Amblyraja radiata,Thorny Skate,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending,2022-05-04,Aquatic,Amblyraja radiata - Thorny Skate,NA,NA,NA,NA,NA,NA,9999-01-01,NA
