COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Beluga Whale,Ungava Bay population,Endangered,2020-11-04,Delphinapterus leucas,Beluga Whale,Ungava Bay population,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Quebec",Mammals (marine),Addition,Pending,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (Ungava Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,Western Hudson Bay population,Not at Risk,2020-11-04,Delphinapterus leucas,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Nunavut, Ontario, Quebec",Mammals (marine),NA,NA,2030-11-04,Aquatic,Delphinapterus leucas - Beluga Whale (Western Hudson Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,"Western Hudson Bay population, 2004 designation",Non-active,2020-11-04,Delphinapterus leucas,Beluga Whale,Western Hudson Bay population,No Status,2006-08-15,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Manitoba, Nunavut, Ontario",Mammals (marine),NA,Decision deferred further consultations required,2030-11-04,Aquatic,"Delphinapterus leucas - Beluga Whale (Western Hudson Bay population, 2004 designation)",NA,NA,NA,NA,NA,NA,9999-01-01,NA
Beluga Whale,"Western Hudson Bay population, original designation",Non-active,2004-05-01,Delphinapterus leucas,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Manitoba, Nunavut, Ontario",Mammals (marine),NA,NA,2014-05-01,Aquatic,"Delphinapterus leucas - Beluga Whale (Western Hudson Bay population, original designation)",NA,NA,NA,NA,NA,NA,9999-01-01,NA
Short-beaked Common Dolphin,NA,Not at Risk,1991-04-01,Delphinus delphis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Pacific Ocean",Mammals (marine),NA,NA,2001-04-01,Aquatic,Delphinus delphis - Short-beaked Common Dolphin,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leatherback Sea Turtle,NA,Non-active,2012-05-04,Dermochelys coriacea,Leatherback Sea Turtle,NA,No Status,2017-04-13,No schedule,2003-06-05,"Atlantic Ocean, Pacific Ocean",Reptiles,NA,Struck - WS reassignment,2022-05-04,Terrestrial,Dermochelys coriacea - Leatherback Sea Turtle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leatherback Sea Turtle,Atlantic population,Endangered,2022-12-03,Dermochelys coriacea,Leatherback Sea Turtle,Atlantic population,Endangered,9999-01-01,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Reptiles,NA,NA,2032-12-03,Terrestrial,Dermochelys coriacea - Leatherback Sea Turtle (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leatherback Sea Turtle,Pacific population,Endangered,2022-12-03,Dermochelys coriacea,Leatherback Sea Turtle,Pacific population,Endangered,9999-01-01,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Reptiles,NA,NA,2032-12-03,Terrestrial,Dermochelys coriacea - Leatherback Sea Turtle (Pacific population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Evening Fieldslug,NA,Data Deficient,2003-11-01,Deroceras hesperium,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Molluscs,NA,NA,2013-11-01,Terrestrial,Deroceras hesperium - Evening Fieldslug,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mackenzie Hairgrass,NA,Special Concern,2018-04-27,Deschampsia mackenzieana,Mackenzie Hairgrass,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Northwest Territories, Saskatchewan",Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Deschampsia mackenzieana - Mackenzie Hairgrass,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Illinois Tick-trefoil,NA,Extirpated,2000-05-01,Desmodium illinoense,Illinois Tick-trefoil,NA,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2010-05-01,Terrestrial,Desmodium illinoense - Illinois Tick-trefoil,Terrestrial,Vascular plants,Desmodium illinoense,Illinois Tick-trefoil,NA,Extirpated,2025-November-01,"CMN, CWS, ON, Parks"
Northern Dusky Salamander,NA,Non-active,2012-05-04,Desmognathus fuscus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Ontario, Quebec",Amphibians,NA,NA,2022-05-04,Terrestrial,Desmognathus fuscus - Northern Dusky Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Dusky Salamander,Carolinian population,Endangered,2012-05-04,Desmognathus fuscus,Northern Dusky Salamander,Carolinian population,Endangered,2017-06-02,Schedule 1,2017-06-02,Ontario,Amphibians,NA,Added to list,2022-05-04,Terrestrial,Desmognathus fuscus - Northern Dusky Salamander (Carolinian population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Dusky Salamander,Quebec / New Brunswick population,Not at Risk,2012-05-04,Desmognathus fuscus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Quebec",Amphibians,NA,NA,2022-05-04,Terrestrial,Desmognathus fuscus - Northern Dusky Salamander (Quebec / New Brunswick population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Allegheny Mountain Dusky Salamander,NA,Non-active,2007-04-22,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,NA,No Status,2009-03-05,No schedule,2003-06-05,Quebec,Amphibians,NA,Struck - WS reassignment,2017-04-22,Terrestrial,Desmognathus ochrophaeus - Allegheny Mountain Dusky Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2021-04-23,Schedule 1,2003-06-05,Quebec,Amphibians,NA,Uplisted: Threatened to endangered,2028-04-27,Terrestrial,Desmognathus ochrophaeus - Allegheny Mountain Dusky Salamander (Appalachian population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2009-03-05,Schedule 1,2003-06-05,Ontario,Amphibians,NA,Uplisted,2028-04-27,Terrestrial,Desmognathus ochrophaeus - Allegheny Mountain Dusky Salamander (Carolinian population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastal Giant Salamander,NA,Threatened,2014-05-02,Dicamptodon tenebrosus,Coastal Giant Salamander,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,NA,Added to list,2024-05-02,Terrestrial,Dicamptodon tenebrosus - Coastal Giant Salamander,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yellow Scarab Hunter Wasp,NA,Special Concern,2018-11-01,Dielis pilipes,Yellow Scarab Hunter Wasp,NA,Special Concern,2023-02-03,Schedule 1,2023-02-03,British Columbia,Arthropods,NA,Added to list,2028-11-01,Terrestrial,Dielis pilipes - Yellow Scarab Hunter Wasp,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Ord's Kangaroo Rat,NA,Endangered,2017-04-28,Dipodomys ordii,Ord's Kangaroo Rat,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, Saskatchewan",Mammals (terrestrial),NA,Added to list,2027-04-28,Terrestrial,Dipodomys ordii - Ord's Kangaroo Rat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Barndoor Skate,NA,Not at Risk,2010-11-26,Dipturus laevis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Atlantic Ocean,Fishes (marine),NA,NA,2020-11-26,Aquatic,Dipturus laevis - Barndoor Skate,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Domed Disc,NA,Endangered,2024-05-09,Discus patulus,Domed Disc,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Molluscs,Addition,Pending,2034-05-09,Terrestrial,Discus patulus - Domed Disc,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bobolink,NA,Special Concern,2022-05-11,Dolichonyx oryzivorus,Bobolink,NA,Threatened,9999-01-01,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,Status change,Pending,2032-05-11,Terrestrial,Dolichonyx oryzivorus - Bobolink,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Long-stalked Whitlow-grass,NA,Data Deficient,1992-04-01,Draba juvenilis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Alberta,Vascular Plants,NA,NA,2002-04-01,Terrestrial,Draba juvenilis - Long-stalked Whitlow-grass,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Puvirnituq Mountain Draba,NA,Special Concern,2019-11-29,Draba puvirnituqii,Puvirnituq Mountain Draba,NA,Special Concern,2024-06-10,Schedule 1,2024-06-10,Quebec,Vascular Plants,NA,Added to list,2029-11-29,Terrestrial,Draba puvirnituqii - Puvirnituq Mountain Draba,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dense Draba,NA,Special Concern,2022-05-11,Draba pycnosperma,Dense Draba,NA,No Status,9999-01-01,No schedule,9999-01-01,"Newfoundland and Labrador, Quebec",Vascular Plants,Addition,Pending,2032-05-11,Terrestrial,Draba pycnosperma - Dense Draba,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yukon Draba,NA,Special Concern,2018-11-01,Draba yukonensis,Yukon Draba,NA,No Status,9999-01-01,No schedule,9999-01-01,Yukon,Vascular Plants,Addition,Pending,2028-11-01,Terrestrial,Draba yukonensis - Yukon Draba,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Thread-leaved Sundew,NA,Endangered,2001-05-01,Drosera filiformis,Thread-leaved Sundew,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Drosera filiformis - Thread-leaved Sundew,NA,NA,NA,NA,NA,NA,9999-01-01,NA
White-headed Woodpecker,NA,Endangered,2023-05-05,Dryobates albolarvatus,White-headed Woodpecker,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,NA,Added to list,2033-05-05,Terrestrial,Dryobates albolarvatus - White-headed Woodpecker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Coastal Wood Fern,NA,Special Concern,2021-05-05,Dryopteris arguta,Coastal Wood Fern,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2031-05-05,Terrestrial,Dryopteris arguta - Coastal Wood Fern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Passenger Pigeon,NA,Extinct,2000-05-01,Ectopistes migratorius,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,NA,NA,2010-05-01,Terrestrial,Ectopistes migratorius - Passenger Pigeon,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Okanagan Efferia,NA,Endangered,2011-11-25,Efferia okanagana,Okanagan Efferia,NA,Endangered,2017-02-03,Schedule 1,2017-02-03,British Columbia,Arthropods,NA,Added to list,2021-11-25,Terrestrial,Efferia okanagana - Okanagan Efferia,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Purple Spikerush,NA,Non-active,2008-04-25,Eleocharis atropurpurea,Purple Spikerush,NA,NA,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,NA,NA,2018-04-25,Terrestrial,Eleocharis atropurpurea - Purple Spikerush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Horsetail Spike-rush,NA,Endangered,2000-11-01,Eleocharis equisetoides,Horsetail Spike-rush,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Added to list,2010-11-01,Terrestrial,Eleocharis equisetoides - Horsetail Spike-rush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bent Spike-rush,Great Lakes Plains population,Endangered,2009-04-26,Eleocharis geniculata,Bent Spike-rush,Great Lakes Plains population,Endangered,2011-02-04,Schedule 1,2011-02-04,Ontario,Vascular Plants,NA,Added to list,2019-04-26,Terrestrial,Eleocharis geniculata - Bent Spike-rush (Great Lakes Plains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bent Spike-rush,Southern Mountain population,Endangered,2009-04-26,Eleocharis geniculata,Bent Spike-rush,Southern Mountain population,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,NA,Added to list,2019-04-26,Terrestrial,Eleocharis geniculata - Bent Spike-rush (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tubercled Spike-rush,NA,Special Concern,2010-04-25,Eleocharis tuberculosa,Tubercled Spike-rush,NA,Special Concern,2012-06-20,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Downlisted: Threatened to special concern,2020-04-25,Terrestrial,Eleocharis tuberculosa - Tubercled Spike-rush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Alligator Lizard,NA,Not at Risk,2002-05-01,Elgaria coerulea,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Reptiles,NA,NA,2012-05-01,Terrestrial,Elgaria coerulea - Northern Alligator Lizard,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Acadian Flycatcher,NA,Endangered,2010-04-25,Empidonax virescens,Acadian Flycatcher,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Birds,NA,Added to list,2020-04-25,Terrestrial,Empidonax virescens - Acadian Flycatcher,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Grey Flycatcher,NA,Not at Risk,1992-04-01,Empidonax wrightii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Birds,NA,NA,2002-04-01,Terrestrial,Empidonax wrightii - Grey Flycatcher,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,2016-11-27,Emydoidea blandingii,Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,2021-08-12,Schedule 1,2006-08-15,"Ontario, Quebec",Reptiles,NA,Uplisted: Threatened to endangered,2026-11-27,Terrestrial,Emydoidea blandingii - Blanding's Turtle (Great Lakes / St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blanding's Turtle,Nova Scotia population,Endangered,2016-11-27,Emydoidea blandingii,Blanding's Turtle,Nova Scotia population,Endangered,2006-08-15,Schedule 1,2006-08-15,Nova Scotia,Reptiles,NA,Added to list,2026-11-27,Terrestrial,Emydoidea blandingii - Blanding's Turtle (Nova Scotia population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern False Rue-anemone,NA,Special Concern,2022-05-11,Enemion biternatum,False Rue-anemone,NA,Threatened,9999-01-01,Schedule 1,2006-08-15,Ontario,Vascular Plants,Status change,Pending,2032-05-11,Terrestrial,Enemion biternatum - Eastern False Rue-anemone,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sea Otter,NA,Special Concern,2022-05-11,Enhydra lutris,Sea Otter,NA,Special Concern,2009-03-05,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Mammals (marine),NA,Downlisted,2032-05-11,Aquatic,Enhydra lutris - Sea Otter,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Ensatina,NA,Not at Risk,1999-04-01,Ensatina eschscholtzii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Amphibians,NA,NA,2009-04-01,Terrestrial,Ensatina eschscholtzii - Ensatina,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Schleicher's Silk Moss,NA,Data Deficient,2005-05-05,Entodon schleicheri,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Northwest Territories",Mosses,NA,NA,2015-05-05,Terrestrial,Entodon schleicheri - Schleicher's Silk Moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Vancouver Lamprey,NA,Threatened,2017-11-01,Entosphenus macrostomus,Vancouver Lamprey,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),NA,Added to list,2027-11-01,Aquatic,Entosphenus macrostomus - Vancouver Lamprey,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Banded Cord-moss,NA,Special Concern,2015-05-01,Entosthodon fascicularis,Banded Cord-moss,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,British Columbia,Mosses,NA,Added to list,2025-05-01,Terrestrial,Entosthodon fascicularis - Banded Cord-moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rusty Cord-moss,NA,Special Concern,2017-04-28,Entosthodon rubiginosus,Rusty Cord-moss,NA,Endangered,2021-09-01,Schedule 1,2006-08-15,"British Columbia, Saskatchewan",Mosses,NA,Refer back,2027-04-28,Terrestrial,Entosthodon rubiginosus - Rusty Cord-moss,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Macropis Cuckoo Bee,NA,Endangered,2011-05-06,Epeoloides pilosulus,Macropis Cuckoo Bee,NA,Endangered,2018-05-30,Schedule 1,2018-05-30,Nova Scotia,Arthropods,NA,Added to list,2021-05-06,Terrestrial,Epeoloides pilosulus - Macropis Cuckoo Bee,Terrestrial,Arthropods,Epeoloides pilosulus,Macropis Cuckoo Bee,NA,Endangered,2025-April-01,"AB, CWS, MB, NB, NS, ON, Parks, QC, SK"
,NA,Not applicable,9999-01-01,Ephalus latimanus,NA,NA,NA,9999-01-01,NA,9999-01-01,"CWS, Parks",Arthropods,NA,NA,9999-01-01,Terrestrial,Ephalus latimanus - [a darkling beetle],Terrestrial,Arthropods,Ephalus latimanus,,NA,Not applicable,2025-November-01,"CWS, Parks"
Dense Spike-primrose,NA,Endangered,2005-05-05,Epilobium densiflorum,Dense Spike-primrose,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,NA,Added to list,2015-05-05,Terrestrial,Epilobium densiflorum - Dense Spike-primrose,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Brook Spike-primrose,NA,Endangered,2018-11-01,Epilobium torreyi,Brook Spike-primrose,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,NA,Added to list,2028-11-01,Terrestrial,Epilobium torreyi - Brook Spike-primrose,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Riffleshell,NA,Endangered,2010-04-25,Epioblasma rangiana,Northern Riffleshell,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,NA,Added to list,2020-04-25,Terrestrial,Epioblasma rangiana - Northern Riffleshell,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Snuffbox,NA,Endangered,2011-11-25,Epioblasma triquetra,Snuffbox,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,NA,Added to list,2021-11-25,Terrestrial,Epioblasma triquetra - Snuffbox,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Giant Helleborine,NA,Not at Risk,2015-11-26,Epipactis gigantea,Giant Helleborine,NA,NA,9999-01-01,NA,9999-01-01,British Columbia,Vascular Plants,NA,NA,2025-11-26,Terrestrial,Epipactis gigantea - Giant Helleborine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Streaked Horned Lark,NA,Endangered,2018-04-27,Eremophila alpestris strigata,Streaked Horned Lark,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Birds,NA,Added to list,2028-04-27,Terrestrial,Eremophila alpestris strigata - Streaked Horned Lark,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rabbit-brush Goldenweed,NA,Data Deficient,1997-04-01,Ericameria bloomeri,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,NA,NA,2007-04-01,Terrestrial,Ericameria bloomeri - Rabbit-brush Goldenweed,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leiberg's Fleabane,NA,Data Deficient,2016-11-27,Erigeron leibergii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,NA,NA,2026-11-27,Terrestrial,Erigeron leibergii - Leiberg's Fleabane,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Provancher's Fleabane,NA,Data Deficient,2023-05-05,Erigeron philadelphicus var. provancheri,Provancher's Fleabane,NA,NA,9999-01-01,NA,9999-01-01,"Ontario, Quebec",Vascular Plants,NA,NA,2033-05-05,Terrestrial,Erigeron philadelphicus var. provancheri - Provancher's Fleabane,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dwarf Fleabane,NA,Not at Risk,1996-04-01,Erigeron radicatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Saskatchewan",Vascular Plants,NA,NA,2006-04-01,Terrestrial,Erigeron radicatus - Dwarf Fleabane,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bearded Seal,NA,Data Deficient,2007-04-22,Erignathus barbatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario",Mammals (marine),NA,NA,2017-04-22,Aquatic,Erignathus barbatus - Bearded Seal,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gravel Chub,NA,Extirpated,2019-05-03,Erimystax x-punctatus,Gravel Chub,NA,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,Added to list,2029-05-03,Aquatic,Erimystax x-punctatus - Gravel Chub,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Chubsucker,NA,Endangered,2021-05-05,Erimyzon sucetta,Lake Chubsucker,NA,Endangered,2011-06-23,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),NA,Uplisted,2031-05-05,Aquatic,Erimyzon sucetta - Lake Chubsucker,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Parker's Pipewort,NA,Not at Risk,2007-04-22,Eriocaulon parkeri,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"New Brunswick, Quebec",Vascular Plants,NA,NA,2017-04-22,Terrestrial,Eriocaulon parkeri - Parker's Pipewort,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Vole Ears Lichen,NA,Endangered,2021-05-05,Erioderma mollissimum,Vole Ears Lichen,NA,Endangered,2012-06-20,Schedule 1,2012-06-20,"New Brunswick, Newfoundland and Labrador, Nova Scotia",Lichens,NA,Added to list,2031-05-05,Terrestrial,Erioderma mollissimum - Vole Ears Lichen,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Boreal Felt Lichen,Atlantic population,Endangered,2014-11-28,Erioderma pedicellatum,Boreal Felt Lichen,Atlantic population,Endangered,2005-01-12,Schedule 1,2005-01-12,"New Brunswick, Nova Scotia",Lichens,NA,Added to list,2024-11-28,Terrestrial,Erioderma pedicellatum - Boreal Felt Lichen (Atlantic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Boreal Felt Lichen,Boreal population,Special Concern,2014-11-28,Erioderma pedicellatum,Boreal Felt Lichen,Boreal population,Special Concern,2005-01-12,Schedule 1,2005-01-12,Newfoundland and Labrador,Lichens,NA,Added to list,2024-11-28,Terrestrial,Erioderma pedicellatum - Boreal Felt Lichen (Boreal population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Yukon Wild Buckwheat,NA,Special Concern,2017-11-01,Eriogonum flavum var. aquilinum,Yukon Wild Buckwheat,NA,Special Concern,2021-04-23,Schedule 1,2021-04-23,Yukon,Vascular Plants,NA,Added to list,2027-11-01,Terrestrial,Eriogonum flavum var. aquilinum - Yukon Wild Buckwheat,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mottled Duskywing,Boreal population,Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Boreal population,Endangered,2023-02-03,Schedule 1,2023-02-03,Manitoba,Arthropods,NA,Added to list,2022-11-25,Terrestrial,Erynnis martialis - Mottled Duskywing (Boreal population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mottled Duskywing,Great Lakes Plains population,Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Great Lakes Plains population,Endangered,2023-02-03,Schedule 1,2023-02-03,"Ontario, Quebec",Arthropods,NA,Added to list,2022-11-25,Terrestrial,Erynnis martialis - Mottled Duskywing (Great Lakes Plains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
